Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Female,3261,0.9218,0.7904,0.0880,0.1202,0.4592,0.0261,0.5408,0.9739
Black + Male,600,0.8867,0.7736,0.1150,0.1783,0.4953,0.0304,0.5047,0.9696
White + Male,7181,0.8099,0.7711,0.2722,0.3158,0.3699,0.1071,0.6301,0.8929
Black + Female,586,0.9556,0.7913,0.0495,0.0631,0.4595,0.0164,0.5405,0.9836
Amer-Indian-Eskimo + Male,73,0.9041,0.7045,0.1096,0.0685,0.4000,0.0735,0.6000,0.9265
Asian-Pac-Islander + Female,131,0.9237,0.7707,0.0611,0.1221,0.5625,0.0087,0.4375,0.9913
Amer-Indian-Eskimo + Female,53,0.9245,0.7792,0.0755,0.1132,0.5000,0.0213,0.5000,0.9787
Asian-Pac-Islander + Male,238,0.7899,0.7549,0.2857,0.3361,0.3875,0.1203,0.6125,0.8797
Other + Female,26,0.9231,0.4800,0.0000,0.0769,1.0000,0.0000,0.0000,1.0000
Other + Male,62,0.9194,0.7852,0.0645,0.1452,0.5556,0.0000,0.4444,1.0000
